signal_date,effective_date,ticker,vcrf_state,floor_price,recognition_price,total_score,tradable_flag,signal_version,underwrite_score,realization_score,position_state,primary_type,sector_route,announcement_date,reject_reason
2024-04-30,2024-05-06,600568,REJECT,1.1,1.61,55.23,0,public_source_watchlist_v1,61.99,45.08,reject,special_situation,financial_asset,2024-04-30,
2024-04-30,2024-05-06,600019,HARVEST,7.75,1.04,54.28,1,public_source_watchlist_v1,62.96,41.25,harvest,compounder,core_resource,2024-04-30,
2024-04-30,2024-05-06,600758,REJECT,3.46,0.75,52.94,1,public_source_watchlist_v1,45.8,63.65,reject,cyclical,core_resource,2024-04-30,debt wall coverage fails survival tripwire
2024-04-30,2024-05-06,600348,REJECT,7.28,2.89,47.91,1,public_source_watchlist_v1,50.81,43.55,reject,cyclical,core_resource,2024-04-30,
2024-04-30,2024-05-06,601065,REJECT,5.64,2.62,46.91,1,public_source_watchlist_v1,39.54,57.96,reject,cyclical,core_resource,2024-04-30,
2024-04-30,2024-05-06,603227,REJECT,3.67,1.4,44.92,1,public_source_watchlist_v1,37.55,55.98,reject,cyclical,core_resource,2024-04-30,
2024-04-30,2024-05-06,002226,REJECT,2.85,0.65,43.78,1,public_source_watchlist_v1,41.84,46.68,reject,compounder,core_resource,2024-04-30,
2024-04-30,2024-05-06,603977,REJECT,3.83,0.76,39.52,1,public_source_watchlist_v1,35.66,45.32,reject,compounder,unknown,2024-04-30,
2024-04-30,2024-05-06,002121,REJECT,0.53,0.78,39.14,1,public_source_watchlist_v1,29.55,53.53,reject,compounder,financial_asset,2024-04-30,debt wall coverage fails survival tripwire
2024-04-30,2024-05-06,000425,REJECT,3.92,1.76,37.75,1,public_source_watchlist_v1,33.75,43.75,reject,compounder,rigid_shovel,2024-04-30,
2024-04-30,2024-05-06,600221,REJECT,0.05,0.16,33.44,1,public_source_watchlist_v1,26.4,44.0,reject,compounder,unknown,2024-04-30,debt wall coverage fails survival tripwire
2024-05-31,2024-06-03,600019,HARVEST,7.75,1.04,53.68,1,public_source_watchlist_v1,62.96,39.75,harvest,compounder,core_resource,2024-05-31,
2024-05-31,2024-06-03,600758,REJECT,3.46,0.75,52.26,1,public_source_watchlist_v1,45.8,61.95,reject,cyclical,core_resource,2024-05-31,debt wall coverage fails survival tripwire
2024-05-31,2024-06-03,600568,REJECT,1.1,1.61,49.95,0,public_source_watchlist_v1,54.74,42.76,reject,special_situation,financial_asset,2024-05-31,
2024-05-31,2024-06-03,601065,REJECT,5.64,2.62,46.03,1,public_source_watchlist_v1,39.54,55.77,reject,cyclical,core_resource,2024-05-31,
2024-05-31,2024-06-03,603227,REJECT,3.67,1.4,45.45,1,public_source_watchlist_v1,37.55,57.3,reject,cyclical,core_resource,2024-05-31,
2024-05-31,2024-06-03,600348,REJECT,7.28,2.89,43.31,1,public_source_watchlist_v1,44.56,41.44,reject,cyclical,core_resource,2024-05-31,
2024-05-31,2024-06-03,002226,REJECT,2.85,0.65,42.22,1,public_source_watchlist_v1,37.24,49.7,reject,compounder,core_resource,2024-05-31,
2024-05-31,2024-06-03,603977,REJECT,3.83,0.76,40.8,1,public_source_watchlist_v1,35.66,48.5,reject,compounder,unknown,2024-05-31,
2024-05-31,2024-06-03,002121,REJECT,0.53,0.78,39.52,1,public_source_watchlist_v1,29.55,54.48,reject,compounder,financial_asset,2024-05-31,debt wall coverage fails survival tripwire
2024-05-31,2024-06-03,000425,REJECT,3.92,1.76,37.31,1,public_source_watchlist_v1,33.75,42.65,reject,compounder,rigid_shovel,2024-05-31,
2024-05-31,2024-06-03,600221,REJECT,0.05,0.16,33.44,1,public_source_watchlist_v1,26.4,44.0,reject,compounder,unknown,2024-05-31,debt wall coverage fails survival tripwire
2024-06-28,2024-07-01,600568,READY,1.1,1.61,60.39,0,public_source_watchlist_v1,71.79,43.28,ready,special_situation,financial_asset,2024-06-28,
2024-06-28,2024-07-01,600758,REJECT,3.46,0.75,54.03,1,public_source_watchlist_v1,49.55,60.75,reject,cyclical,core_resource,2024-06-28,debt wall coverage fails survival tripwire
2024-06-28,2024-07-01,600019,HARVEST,7.75,1.04,53.68,1,public_source_watchlist_v1,62.96,39.75,harvest,compounder,core_resource,2024-06-28,
2024-06-28,2024-07-01,601065,REJECT,5.64,2.62,48.47,1,public_source_watchlist_v1,44.54,54.36,reject,cyclical,core_resource,2024-06-28,
2024-06-28,2024-07-01,603227,REJECT,3.67,1.4,44.51,1,public_source_watchlist_v1,37.55,54.94,reject,cyclical,core_resource,2024-06-28,
2024-06-28,2024-07-01,600348,REJECT,7.28,2.89,43.13,1,public_source_watchlist_v1,44.56,40.99,reject,cyclical,core_resource,2024-06-28,
2024-06-28,2024-07-01,002226,REJECT,2.85,0.65,41.74,1,public_source_watchlist_v1,35.56,51.0,reject,cyclical,core_resource,2024-06-28,
2024-06-28,2024-07-01,603977,REJECT,3.83,0.76,40.35,1,public_source_watchlist_v1,35.66,47.38,reject,compounder,unknown,2024-06-28,
2024-06-28,2024-07-01,002121,REJECT,0.53,0.78,39.1,1,public_source_watchlist_v1,29.55,53.43,reject,compounder,financial_asset,2024-06-28,debt wall coverage fails survival tripwire
2024-06-28,2024-07-01,000425,REJECT,3.92,1.76,37.83,1,public_source_watchlist_v1,33.75,43.95,reject,compounder,rigid_shovel,2024-06-28,
2024-06-28,2024-07-01,600221,REJECT,0.05,0.16,34.27,1,public_source_watchlist_v1,26.4,46.08,reject,compounder,unknown,2024-06-28,debt wall coverage fails survival tripwire
2024-07-31,2024-08-01,600568,REJECT,1.1,1.61,56.59,0,public_source_watchlist_v1,65.99,42.48,reject,special_situation,financial_asset,2024-07-31,
2024-07-31,2024-08-01,600348,HARVEST,7.28,2.89,56.56,1,public_source_watchlist_v1,60.81,50.19,harvest,cyclical,core_resource,2024-07-31,
2024-07-31,2024-08-01,600758,REJECT,3.46,0.75,54.03,1,public_source_watchlist_v1,49.55,60.75,reject,cyclical,core_resource,2024-07-31,debt wall coverage fails survival tripwire
2024-07-31,2024-08-01,600019,HARVEST,7.75,1.04,53.2,1,public_source_watchlist_v1,62.96,38.55,harvest,compounder,core_resource,2024-07-31,
2024-07-31,2024-08-01,601065,REJECT,5.64,2.62,48.44,1,public_source_watchlist_v1,44.54,54.29,reject,cyclical,core_resource,2024-07-31,
2024-07-31,2024-08-01,603227,REJECT,3.67,1.4,44.58,1,public_source_watchlist_v1,37.55,55.13,reject,cyclical,core_resource,2024-07-31,
2024-07-31,2024-08-01,002226,REJECT,2.85,0.65,41.53,1,public_source_watchlist_v1,35.56,50.48,reject,cyclical,core_resource,2024-07-31,
2024-07-31,2024-08-01,603977,REJECT,3.83,0.76,41.24,1,public_source_watchlist_v1,35.66,49.61,reject,compounder,unknown,2024-07-31,
2024-07-31,2024-08-01,000425,REJECT,3.92,1.76,39.51,1,public_source_watchlist_v1,37.35,42.75,reject,compounder,rigid_shovel,2024-07-31,
2024-07-31,2024-08-01,002121,REJECT,0.53,0.78,38.6,1,public_source_watchlist_v1,29.55,52.17,reject,compounder,financial_asset,2024-07-31,debt wall coverage fails survival tripwire
2024-07-31,2024-08-01,600221,REJECT,0.05,0.16,33.75,1,public_source_watchlist_v1,26.4,44.78,reject,compounder,unknown,2024-07-31,debt wall coverage fails survival tripwire
2024-08-30,2024-09-02,600568,REJECT,1.05,1.53,54.19,0,public_source_watchlist_v1,61.99,42.48,reject,special_situation,financial_asset,2024-08-30,
2024-08-30,2024-09-02,600348,REJECT,7.04,4.32,53.61,1,public_source_watchlist_v1,57.06,48.44,reject,cyclical,core_resource,2024-08-30,
2024-08-30,2024-09-02,600019,HARVEST,7.69,2.47,53.17,1,public_source_watchlist_v1,60.25,42.55,harvest,compounder,core_resource,2024-08-30,
2024-08-30,2024-09-02,600758,REJECT,3.46,0.1,51.63,1,public_source_watchlist_v1,49.55,54.75,reject,cyclical,core_resource,2024-08-30,debt wall coverage fails survival tripwire
2024-08-30,2024-09-02,601065,REJECT,5.52,5.05,50.41,1,public_source_watchlist_v1,44.54,59.21,reject,cyclical,core_resource,2024-08-30,
2024-08-30,2024-09-02,603227,REJECT,3.67,4.39,45.65,1,public_source_watchlist_v1,39.55,54.79,reject,cyclical,core_resource,2024-08-30,
2024-08-30,2024-09-02,002226,REJECT,2.89,1.89,44.68,1,public_source_watchlist_v1,40.06,51.62,reject,cyclical,core_resource,2024-08-30,
2024-08-30,2024-09-02,603977,REJECT,3.83,2.18,41.21,1,public_source_watchlist_v1,35.66,49.54,reject,compounder,unknown,2024-08-30,
2024-08-30,2024-09-02,002121,REJECT,0.5,0.74,38.36,1,public_source_watchlist_v1,29.11,52.23,reject,compounder,financial_asset,2024-08-30,debt wall coverage fails survival tripwire
2024-08-30,2024-09-02,000425,REJECT,4.04,4.11,36.34,1,public_source_watchlist_v1,32.07,42.75,reject,compounder,rigid_shovel,2024-08-30,debt wall coverage fails survival tripwire
2024-08-30,2024-09-02,600221,REJECT,0.05,0.04,33.55,1,public_source_watchlist_v1,26.4,44.28,reject,compounder,unknown,2024-08-30,debt wall coverage fails survival tripwire
2024-09-30,2024-10-08,600568,REJECT,1.05,1.53,54.51,0,public_source_watchlist_v1,61.99,43.28,reject,special_situation,financial_asset,2024-09-30,
2024-09-30,2024-10-08,600019,REJECT,7.69,2.47,50.58,1,public_source_watchlist_v1,56.8,41.25,reject,compounder,core_resource,2024-09-30,
2024-09-30,2024-10-08,600758,REJECT,3.46,0.1,49.86,1,public_source_watchlist_v1,45.8,55.95,reject,cyclical,core_resource,2024-09-30,debt wall coverage fails survival tripwire
2024-09-30,2024-10-08,600348,REJECT,7.04,4.32,48.48,1,public_source_watchlist_v1,52.06,43.1,reject,cyclical,core_resource,2024-09-30,
2024-09-30,2024-10-08,002226,REJECT,2.89,1.89,46.8,1,public_source_watchlist_v1,45.8,48.29,reject,compounder,core_resource,2024-09-30,
2024-09-30,2024-10-08,603227,REJECT,3.67,4.39,46.16,1,public_source_watchlist_v1,45.15,47.68,reject,compounder,core_resource,2024-09-30,
2024-09-30,2024-10-08,601065,REJECT,5.52,5.05,46.13,1,public_source_watchlist_v1,39.54,56.02,reject,cyclical,core_resource,2024-09-30,
2024-09-30,2024-10-08,002121,REJECT,0.5,0.74,40.33,1,public_source_watchlist_v1,29.11,57.16,reject,compounder,financial_asset,2024-09-30,debt wall coverage fails survival tripwire
2024-09-30,2024-10-08,603977,REJECT,3.83,2.18,40.15,1,public_source_watchlist_v1,35.66,46.88,reject,compounder,unknown,2024-09-30,
2024-09-30,2024-10-08,600221,REJECT,0.02,0.04,33.76,1,public_source_watchlist_v1,26.4,44.8,reject,compounder,unknown,2024-09-30,debt wall coverage fails survival tripwire
2024-09-30,2024-10-08,000425,REJECT,4.04,4.11,33.54,1,public_source_watchlist_v1,28.47,41.15,reject,compounder,rigid_shovel,2024-09-30,debt wall coverage fails survival tripwire
2024-10-31,2024-11-01,600568,REJECT,1.03,1.51,61.07,0,public_source_watchlist_v1,66.39,53.1,reject,special_situation,financial_asset,2024-10-31,
2024-10-31,2024-11-01,600348,REJECT,7.19,6.05,55.7,1,public_source_watchlist_v1,56.31,54.79,reject,cyclical,core_resource,2024-10-31,
2024-10-31,2024-11-01,600019,HARVEST,7.7,3.21,54.48,1,public_source_watchlist_v1,60.76,45.05,harvest,compounder,core_resource,2024-10-31,
2024-10-31,2024-11-01,601065,REJECT,5.63,6.66,50.47,1,public_source_watchlist_v1,44.54,59.36,reject,cyclical,core_resource,2024-10-31,
2024-10-31,2024-11-01,600758,REJECT,3.49,0.54,48.02,1,public_source_watchlist_v1,40.8,58.85,reject,cyclical,core_resource,2024-10-31,debt wall coverage fails survival tripwire
2024-10-31,2024-11-01,603227,REJECT,3.84,6.74,46.05,1,public_source_watchlist_v1,43.39,50.04,reject,compounder,core_resource,2024-10-31,
2024-10-31,2024-11-01,002226,REJECT,2.99,3.4,44.26,1,public_source_watchlist_v1,41.2,48.84,reject,compounder,core_resource,2024-10-31,
2024-10-31,2024-11-01,600221,REJECT,0.08,0.27,42.09,1,public_source_watchlist_v1,38.94,46.82,reject,compounder,unknown,2024-10-31,
2024-10-31,2024-11-01,002121,REJECT,0.44,0.65,40.43,1,public_source_watchlist_v1,29.11,57.42,reject,compounder,financial_asset,2024-10-31,debt wall coverage fails survival tripwire
2024-10-31,2024-11-01,603977,REJECT,3.93,3.31,38.11,1,public_source_watchlist_v1,31.7,47.73,reject,compounder,unknown,2024-10-31,
2024-10-31,2024-11-01,000425,REJECT,3.98,5.89,34.14,1,public_source_watchlist_v1,28.47,42.65,reject,compounder,rigid_shovel,2024-10-31,debt wall coverage fails survival tripwire
2024-11-29,2024-12-02,600568,REJECT,1.03,1.51,56.72,0,public_source_watchlist_v1,59.14,53.1,reject,special_situation,financial_asset,2024-11-29,
2024-11-29,2024-12-02,600348,REJECT,7.19,6.05,53.77,1,public_source_watchlist_v1,56.31,49.96,reject,cyclical,core_resource,2024-11-29,
2024-11-29,2024-12-02,600019,HARVEST,7.7,3.21,53.48,1,public_source_watchlist_v1,60.76,42.55,harvest,compounder,core_resource,2024-11-29,
2024-11-29,2024-12-02,601065,REJECT,5.63,6.66,50.56,1,public_source_watchlist_v1,44.54,59.58,reject,cyclical,core_resource,2024-11-29,
2024-11-29,2024-12-02,600758,REJECT,3.49,0.54,48.02,1,public_source_watchlist_v1,40.8,58.85,reject,cyclical,core_resource,2024-11-29,debt wall coverage fails survival tripwire
2024-11-29,2024-12-02,603227,REJECT,3.84,6.74,46.02,1,public_source_watchlist_v1,43.39,49.97,reject,compounder,core_resource,2024-11-29,
2024-11-29,2024-12-02,002226,REJECT,2.99,3.4,43.05,1,public_source_watchlist_v1,41.2,45.83,reject,compounder,core_resource,2024-11-29,
2024-11-29,2024-12-02,600221,REJECT,0.08,0.27,41.62,1,public_source_watchlist_v1,38.94,45.65,reject,compounder,unknown,2024-11-29,
2024-11-29,2024-12-02,002121,REJECT,0.44,0.65,41.54,1,public_source_watchlist_v1,29.11,60.18,reject,compounder,financial_asset,2024-11-29,debt wall coverage fails survival tripwire
2024-11-29,2024-12-02,603977,REJECT,3.93,3.31,37.65,1,public_source_watchlist_v1,31.7,46.57,reject,compounder,unknown,2024-11-29,
2024-11-29,2024-12-02,000425,REJECT,3.98,5.89,33.54,1,public_source_watchlist_v1,28.47,41.15,reject,compounder,rigid_shovel,2024-11-29,debt wall coverage fails survival tripwire
2024-12-31,2025-01-02,600568,REJECT,1.03,1.51,60.59,0,public_source_watchlist_v1,66.39,51.9,reject,special_situation,financial_asset,2024-12-31,
2024-12-31,2025-01-02,600348,HARVEST,7.19,6.05,56.28,1,public_source_watchlist_v1,61.31,48.74,harvest,cyclical,core_resource,2024-12-31,
2024-12-31,2025-01-02,600019,HARVEST,7.7,3.21,52.36,1,public_source_watchlist_v1,60.76,39.75,harvest,compounder,core_resource,2024-12-31,
2024-12-31,2025-01-02,600758,REJECT,3.49,0.54,50.54,1,public_source_watchlist_v1,45.8,57.65,reject,cyclical,core_resource,2024-12-31,debt wall coverage fails survival tripwire
2024-12-31,2025-01-02,601065,REJECT,5.63,6.66,49.61,1,public_source_watchlist_v1,44.54,57.22,reject,cyclical,core_resource,2024-12-31,
2024-12-31,2025-01-02,603227,REJECT,3.84,6.74,45.66,1,public_source_watchlist_v1,43.39,49.07,reject,compounder,core_resource,2024-12-31,
2024-12-31,2025-01-02,002226,REJECT,2.99,3.4,43.81,1,public_source_watchlist_v1,41.2,47.72,reject,compounder,core_resource,2024-12-31,
2024-12-31,2025-01-02,002121,REJECT,0.44,0.65,41.57,1,public_source_watchlist_v1,29.11,60.26,reject,compounder,financial_asset,2024-12-31,debt wall coverage fails survival tripwire
2024-12-31,2025-01-02,600221,REJECT,0.08,0.27,41.38,1,public_source_watchlist_v1,38.94,45.05,reject,compounder,unknown,2024-12-31,
2024-12-31,2025-01-02,603977,REJECT,3.93,3.31,38.22,1,public_source_watchlist_v1,31.7,48.0,reject,compounder,unknown,2024-12-31,
2024-12-31,2025-01-02,000425,REJECT,3.98,5.89,33.54,1,public_source_watchlist_v1,28.47,41.15,reject,compounder,rigid_shovel,2024-12-31,debt wall coverage fails survival tripwire
2025-01-27,2025-02-05,600568,REJECT,1.03,1.51,57.15,0,public_source_watchlist_v1,66.39,43.28,reject,special_situation,financial_asset,2025-01-27,
2025-01-27,2025-02-05,600348,HARVEST,7.19,6.05,56.59,1,public_source_watchlist_v1,61.31,49.52,harvest,cyclical,core_resource,2025-01-27,
2025-01-27,2025-02-05,600019,HARVEST,7.7,3.21,52.36,1,public_source_watchlist_v1,60.76,39.75,harvest,compounder,core_resource,2025-01-27,
2025-01-27,2025-02-05,601065,REJECT,5.63,6.66,48.47,1,public_source_watchlist_v1,44.54,54.36,reject,cyclical,core_resource,2025-01-27,
2025-01-27,2025-02-05,600758,REJECT,3.49,0.54,47.15,1,public_source_watchlist_v1,46.9,47.53,reject,compounder,core_resource,2025-01-27,debt wall coverage fails survival tripwire
2025-01-27,2025-02-05,603227,REJECT,3.84,6.74,44.57,1,public_source_watchlist_v1,43.39,46.33,reject,compounder,core_resource,2025-01-27,
2025-01-27,2025-02-05,002226,REJECT,2.99,3.4,41.51,1,public_source_watchlist_v1,41.2,41.97,reject,compounder,core_resource,2025-01-27,
2025-01-27,2025-02-05,600221,REJECT,0.08,0.27,40.75,1,public_source_watchlist_v1,38.94,43.46,reject,compounder,unknown,2025-01-27,
2025-01-27,2025-02-05,603977,REJECT,3.93,3.31,39.24,1,public_source_watchlist_v1,31.7,50.55,reject,compounder,unknown,2025-01-27,
2025-01-27,2025-02-05,002121,REJECT,0.44,0.65,38.91,1,public_source_watchlist_v1,29.11,53.62,reject,compounder,financial_asset,2025-01-27,debt wall coverage fails survival tripwire
2025-01-27,2025-02-05,000425,REJECT,3.98,5.89,33.06,1,public_source_watchlist_v1,28.47,39.95,reject,compounder,rigid_shovel,2025-01-27,debt wall coverage fails survival tripwire
2025-02-28,2025-03-03,600568,REJECT,1.03,1.51,60.27,0,public_source_watchlist_v1,66.39,51.1,reject,special_situation,financial_asset,2025-02-28,
2025-02-28,2025-03-03,600348,HARVEST,7.19,6.05,56.94,1,public_source_watchlist_v1,61.31,50.38,harvest,cyclical,core_resource,2025-02-28,
2025-02-28,2025-03-03,600019,HARVEST,7.7,3.21,52.36,1,public_source_watchlist_v1,60.76,39.75,harvest,compounder,core_resource,2025-02-28,
2025-02-28,2025-03-03,601065,REJECT,5.63,6.66,50.38,1,public_source_watchlist_v1,44.54,59.14,reject,cyclical,core_resource,2025-02-28,
2025-02-28,2025-03-03,600758,REJECT,3.49,0.54,47.75,1,public_source_watchlist_v1,46.9,49.03,reject,compounder,core_resource,2025-02-28,debt wall coverage fails survival tripwire
